# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
395.436798 119.247070 -173.187683 1369.000000 -18.485294 -232.834991 2.069459
674.784851 47.757053 -119.418358 1591.000000 -282.766235 -50.399307 20.552837
755.591309 156.463104 -51.377346 986.000000 -304.751648 309.802734 222.216370
665.809387 43.279232 -31.652428 1627.000000 419.690308 77.461044 241.367584
494.243225 259.809204 -51.320114 1762.000000 287.924500 147.732864 -137.645325
134.648438 127.014191 -9.860657 1099.000000 -325.727753 430.785522 117.340744
434.548828 55.536507 -8.005959 1482.000000 -309.614075 -356.597046 320.362244
366.372711 87.998177 -233.316605 1910.000000 266.951019 -77.302750 410.686279
953.723511 50.659210 -2.044899 1150.000000 407.348511 101.511604 487.184998
791.516357 204.974457 -60.158257 1288.000000 -125.946213 -228.049118 -216.106598
946.531738 297.940247 -153.995926 2125.000000 141.795166 -141.559967 33.826286
227.089111 88.389000 -117.529236 1889.000000 182.370132 -465.371277 -358.187073
621.979675 74.333565 -121.787888 1268.000000 178.531433 -307.678009 -146.135468
242.164795 154.538513 -100.427658 1584.000000 131.246017 252.800476 -13.993003
677.265198 111.739075 -72.332886 1575.000000 -58.483231 -81.541336 -291.162323
307.121979 85.991920 -28.825943 2227.000000 -442.885681 -438.325104 -328.359070
810.261658 124.259621 -62.661137 1132.000000 -227.249207 38.344391 -93.461327
611.397766 103.496384 -11.285316 1239.000000 482.523254 278.357849 354.281311
809.226685 175.825867 -26.555210 1353.000000 -428.566223 -20.593342 -292.697021
286.314636 103.810173 -122.078537 1868.000000 446.047363 -432.974487 44.266205
345.127441 128.474304 -20.864639 1271.000000 -468.115875 -319.500580 -368.820679
230.014694 35.789860 -232.664352 1947.000000 -292.730347 -493.469147 -163.910339
173.240601 128.163620 -64.412842 1555.000000 -197.685944 464.647766 314.777679
379.230133 151.736710 -144.757599 2100.000000 -421.457825 -260.555481 -470.826263
790.341187 114.221733 -30.934631 1276.000000 427.964783 174.431274 -84.250954
494.250702 225.766708 -140.372147 1459.000000 207.018723 428.790314 -489.667877
636.508240 64.641724 -0.012299 2156.000000 -256.319885 -116.111237 113.543945
599.903320 44.159115 -144.096283 1659.000000 483.202850 -177.579956 304.991394
795.045349 123.805038 -175.121185 1509.000000 144.995880 -258.867340 276.833008
755.750122 209.794388 -67.453827 1623.000000 -289.661804 -377.533508 -238.388763
717.854370 278.558380 -64.563179 1329.000000 150.770203 158.150208 -369.925415
440.821991 75.372887 -61.982101 865.000000 -50.417183 284.582703 186.316956
616.528076 507.426758 -478.218567 2993.000000 397.644745 245.887299 -85.688637
375.485657 142.652924 -108.840195 1261.000000 148.123581 219.498840 298.629700
227.457153 247.944611 -217.167221 1284.000000 -415.428070 -366.494446 -295.209595
335.240997 133.560928 -152.347290 1389.000000 343.339874 -98.707497 -161.585846
339.918823 59.259113 -109.195328 1208.000000 -182.598846 -201.113678 246.920776
291.945282 42.901665 -34.535240 1265.000000 -328.682800 269.450531 461.110413
796.699585 73.920700 -97.420547 1226.000000 30.160694 -47.469536 219.551758
178.580017 196.527634 -27.526482 1690.000000 34.112747 88.718231 491.875610
883.180664 304.606689 -45.625435 1654.000000 -84.210724 -488.890106 -192.314758
284.337494 61.136005 -84.099998 1302.000000 -393.164490 -496.059967 -451.140442
77.410812 74.964554 -4.013214 1531.000000 209.762772 62.669552 -136.776810
543.030212 83.565048 -137.429398 2302.000000 -426.173981 305.877350 -283.002686
585.963867 74.850395 -190.486816 1808.000000 -1.567762 241.799698 375.200195
